job_id,job_title,company,domain,location,experience_required,required_skills,job_description
JOB-0020,iOS Developer (Swift),Pulse Software Studio,Mobile Application Development,"London, UK",Mid Level (2-3 yrs),"Flutter, Dart, Mobile UI/UX Design, Swift, React Native, State Management (Provider/Bloc/Redux), Firebase","Looking for a iOS Developer (Swift) to lead cross-platform app initiatives. You will develop modern interactive UI layouts with Flutter, Dart, Mobile UI/UX Design, Swift and manage local caching with Firebase Cloud Messaging. Must have strong hands-on proficiency in Flutter, Dart, Mobile UI/UX Design, Swift, React Native, State Management (Provider/Bloc/Redux), Firebase. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0021,Full Stack Developer,Krypton Security,Full Stack & Web Development,Remote,Associate (1-2 yrs),"MongoDB, Docker, CSS3, TypeScript, CI/CD, SQL, HTML5, WebSockets","Join our agile development team as a Full Stack Developer. You will write clean modular code using MongoDB, Docker, CSS3, TypeScript, write automated tests, and deploy scalable web apps. Must have strong hands-on proficiency in MongoDB, Docker, CSS3, TypeScript, CI/CD, SQL, HTML5, WebSockets. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0022,Cross-Platform Mobile Engineer,Starlight Media Labs,Mobile Application Development,"Karachi, PK",Entry Level (0-1 yrs),"CI/CD for Mobile, Mobile UI/UX Design, Dart, State Management (Provider/Bloc/Redux), Flutter, JavaScript, Offline Storage (SQLite/Hive), App Store / Play Store Deployment, GraphQL, React Native","We are seeking a creative Cross-Platform Mobile Engineer to build high-performance mobile applications using CI/CD for Mobile, Mobile UI/UX Design, Dart, State Management (Provider/Bloc/Redux). You will integrate backend REST APIs and ensure seamless 60fps animations. Must have strong hands-on proficiency in CI/CD for Mobile, Mobile UI/UX Design, Dart, State Management (Provider/Bloc/Redux), Flutter, JavaScript, Offline Storage (SQLite/Hive), App Store / Play Store Deployment, GraphQL, React Native. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0023,React Native Developer,Synergy Global,Mobile Application Development,Hybrid,Entry Level (0-1 yrs),"JavaScript, Mobile Architecture, Dart, Firebase, GraphQL","Looking for a React Native Developer to lead cross-platform app initiatives. You will develop modern interactive UI layouts with JavaScript, Mobile Architecture, Dart, Firebase and manage local caching with Fastlane. Must have strong hands-on proficiency in JavaScript, Mobile Architecture, Dart, Firebase, GraphQL. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0024,AI Research Intern,Vanguard Systems,AI & Machine Learning,Remote,Mid Level (2-3 yrs),"Deep Learning, CUDA, LangChain, NumPy, HuggingFace, Scikit-Learn, TensorFlow, MLOps","We are hiring a AI Research Intern to scale our ML infrastructure. Responsibilities include training vision and language models using Deep Learning, CUDA, LangChain, NumPy and continuous MLOps pipelines. Must have strong hands-on proficiency in Deep Learning, CUDA, LangChain, NumPy, HuggingFace, Scikit-Learn, TensorFlow, MLOps. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0025,LLM Applications Engineer,Orbital HealthTech,AI & Machine Learning,"Lahore, PK",Associate (1-2 yrs),"Kubernetes, Git, Scikit-Learn, MLOps, TensorFlow, NumPy, Natural Language Processing, Deep Learning","Join our frontier AI team as an LLM Applications Engineer. You will design, train, and deploy state-of-the-art neural networks using Kubernetes, Git, Scikit-Learn, MLOps to solve complex computer perception and NLP tasks. Must have strong hands-on proficiency in Kubernetes, Git, Scikit-Learn, MLOps, TensorFlow, NumPy, Natural Language Processing, Deep Learning. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0026,Computer Vision Engineer,Krypton Security,AI & Machine Learning,"Dubai, UAE",Entry Level (0-1 yrs),"Transformers, Docker, Scikit-Learn, NumPy, REST APIs, Computer Vision","We are hiring a Computer Vision Engineer to scale our ML infrastructure. Responsibilities include training vision and language models using Transformers, Docker, Scikit-Learn, NumPy and continuous MLOps pipelines. Must have strong hands-on proficiency in Transformers, Docker, Scikit-Learn, NumPy, REST APIs, Computer Vision. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0027,Cloud Engineer,CyberGuard Solutions,Cloud Computing & DevOps,"London, UK",Associate (1-2 yrs),"Azure, Terraform, Cloud Security, Infrastructure as Code, Docker, Linux, Networking Basics, Jenkins, Kubernetes, Bash Scripting, Ansible","Looking for a high-performing Cloud Engineer to automate deployment lifecycles, manage container orchestration using Azure, Terraform, Cloud Security, Infrastructure as Code, and ensure 99.9% cloud infrastructure uptime. Must have strong hands-on proficiency in Azure, Terraform, Cloud Security, Infrastructure as Code, Docker, Linux, Networking Basics, Jenkins, Kubernetes, Bash Scripting, Ansible. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0028,Computer Vision Engineer,NexGen AI Labs,AI & Machine Learning,"Islamabad, PK",Entry Level (0-1 yrs),"TensorFlow, REST APIs, Mathematics & Linear Algebra, Computer Vision, Vector Databases, Scikit-Learn, Transformers, Kubernetes, MLOps, Deep Learning","Join our frontier AI team as an Computer Vision Engineer. You will design, train, and deploy state-of-the-art neural networks using TensorFlow, REST APIs, Mathematics & Linear Algebra, Computer Vision to solve complex computer perception and NLP tasks. Must have strong hands-on proficiency in TensorFlow, REST APIs, Mathematics & Linear Algebra, Computer Vision, Vector Databases, Scikit-Learn, Transformers, Kubernetes, MLOps, Deep Learning. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0029,Information Security Specialist,Synergy Global,Cybersecurity & Information Security,"Lahore, PK",Entry Level (0-1 yrs),"Cryptography Basics, OWASP Top 10, Ethical Hacking, Wireshark, TCP/IP & Firewalls, Burp Suite","Join our SecOps team as a Information Security Specialist. You will safeguard critical digital assets, investigate security breaches, and write automated detection scripts with Cryptography Basics, OWASP Top 10, Ethical Hacking, Wireshark. Must have strong hands-on proficiency in Cryptography Basics, OWASP Top 10, Ethical Hacking, Wireshark, TCP/IP & Firewalls, Burp Suite. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0030,Software Engineer,Vanguard Systems,Full Stack & Web Development,"Lahore, PK",Associate (1-2 yrs),"TypeScript, Node.js, MongoDB, CI/CD, Express.js, SQL","Join our agile development team as a Software Engineer. You will write clean modular code using TypeScript, Node.js, MongoDB, CI/CD, write automated tests, and deploy scalable web apps. Must have strong hands-on proficiency in TypeScript, Node.js, MongoDB, CI/CD, Express.js, SQL. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0031,Quantitative Analyst,Vanguard Systems,Data Science & Analytics,Remote,Associate (1-2 yrs),"Hypothesis Testing, SQL Optimization, Pandas, Time Series Forecasting, SQL, Tableau, Data Visualization, Power BI, Seaborn, Data Storytelling, Spark","Looking for a motivated Quantitative Analyst to join our analytics team. Key responsibilities include statistical modeling, data cleaning with Hypothesis Testing, SQL Optimization, Pandas, Time Series Forecasting, and translating data into strategic recommendations. Must have strong hands-on proficiency in Hypothesis Testing, SQL Optimization, Pandas, Time Series Forecasting, SQL, Tableau, Data Visualization, Power BI, Seaborn, Data Storytelling, Spark. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0032,Full Stack Developer,ByteCraft Technologies,Full Stack & Web Development,Hybrid,Associate (1-2 yrs),"HTML5, Git, PostgreSQL, Redux, JavaScript, WebSockets, RESTful APIs, MongoDB, Express.js","Join our agile development team as a Full Stack Developer. You will write clean modular code using HTML5, Git, PostgreSQL, Redux, write automated tests, and deploy scalable web apps. Must have strong hands-on proficiency in HTML5, Git, PostgreSQL, Redux, JavaScript, WebSockets, RESTful APIs, MongoDB, Express.js. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0033,Cloud Engineer,Alpha Cloud Systems,Cloud Computing & DevOps,Hybrid,Associate (1-2 yrs),"Networking Basics, Bash Scripting, CI/CD Pipelines, Git, Helm, Kubernetes, Terraform, GitHub Actions, Docker","As our Cloud Engineer, you will architect scalable cloud environments using Networking Basics, Bash Scripting, CI/CD Pipelines, Git, maintain observability with Prometheus & Grafana, and enforce infrastructure security. Must have strong hands-on proficiency in Networking Basics, Bash Scripting, CI/CD Pipelines, Git, Helm, Kubernetes, Terraform, GitHub Actions, Docker. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0034,iOS Developer (Swift),InnoWave Solutions,Mobile Application Development,Hybrid,Mid Level (2-3 yrs),"Push Notifications, Flutter, Dart, Firebase, Swift, Mobile UI/UX Design, State Management (Provider/Bloc/Redux)","Looking for a iOS Developer (Swift) to lead cross-platform app initiatives. You will develop modern interactive UI layouts with Push Notifications, Flutter, Dart, Firebase and manage local caching with Bloc State Management. Must have strong hands-on proficiency in Push Notifications, Flutter, Dart, Firebase, Swift, Mobile UI/UX Design, State Management (Provider/Bloc/Redux). Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0035,Quantitative Analyst,DataSphere Analytics,Data Science & Analytics,Hybrid,Mid Level (2-3 yrs),"Hypothesis Testing, Python, Power BI, Matplotlib, Scikit-Learn, XGBoost, Seaborn, Statistical Modeling","Looking for a motivated Quantitative Analyst to join our analytics team. Key responsibilities include statistical modeling, data cleaning with Hypothesis Testing, Python, Power BI, Matplotlib, and translating data into strategic recommendations. Must have strong hands-on proficiency in Hypothesis Testing, Python, Power BI, Matplotlib, Scikit-Learn, XGBoost, Seaborn, Statistical Modeling. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0036,Threat Intelligence Analyst,Vanguard Systems,Cybersecurity & Information Security,Hybrid,Entry Level (0-1 yrs),"TCP/IP & Firewalls, Linux, Vulnerability Assessment, Incident Response, Network Security, OWASP Top 10, Wireshark, Security Compliance (ISO/NIST)","Join our SecOps team as a Threat Intelligence Analyst. You will safeguard critical digital assets, investigate security breaches, and write automated detection scripts with TCP/IP & Firewalls, Linux, Vulnerability Assessment, Incident Response. Must have strong hands-on proficiency in TCP/IP & Firewalls, Linux, Vulnerability Assessment, Incident Response, Network Security, OWASP Top 10, Wireshark, Security Compliance (ISO/NIST). Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0037,LLM Applications Engineer,Synergy Global,AI & Machine Learning,"Dubai, UAE",Associate (1-2 yrs),"NumPy, Deep Learning, TensorFlow, Model Optimization, HuggingFace, PyTorch","Join our frontier AI team as an LLM Applications Engineer. You will design, train, and deploy state-of-the-art neural networks using NumPy, Deep Learning, TensorFlow, Model Optimization to solve complex computer perception and NLP tasks. Must have strong hands-on proficiency in NumPy, Deep Learning, TensorFlow, Model Optimization, HuggingFace, PyTorch. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0038,React Native Developer,Krypton Security,Mobile Application Development,Remote,Associate (1-2 yrs),"Git, App Store / Play Store Deployment, Flutter, Swift, Mobile Architecture, JavaScript, Offline Storage (SQLite/Hive), Mobile UI/UX Design","Join our mobile engineering team as a React Native Developer. You will design scalable client apps, publish apps to app stores, and implement offline features using Git, App Store / Play Store Deployment, Flutter, Swift. Must have strong hands-on proficiency in Git, App Store / Play Store Deployment, Flutter, Swift, Mobile Architecture, JavaScript, Offline Storage (SQLite/Hive), Mobile UI/UX Design. Experience with Associate (1-2 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0039,Cloud Engineer,ByteCraft Technologies,Cloud Computing & DevOps,"Islamabad, PK",Mid Level (2-3 yrs),"Cloud Security, Helm, Terraform, Grafana, Git, AWS, CI/CD Pipelines, Kubernetes, Networking Basics, Infrastructure as Code","We are seeking a Cloud Engineer passionate about automation. You will implement CI/CD pipelines, configure cloud services with Cloud Security, Helm, Terraform, Grafana, and streamline developer workflows. Must have strong hands-on proficiency in Cloud Security, Helm, Terraform, Grafana, Git, AWS, CI/CD Pipelines, Kubernetes, Networking Basics, Infrastructure as Code. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0040,Computer Vision Engineer,Apex FinTech,AI & Machine Learning,"Lahore, PK",Mid Level (2-3 yrs),"Docker, PyTorch, REST APIs, Scikit-Learn, Computer Vision, Mathematics & Linear Algebra, ONNX, TensorFlow","Seeking an innovative Computer Vision Engineer to build Generative AI and deep learning workflows. Must have experience with Docker, PyTorch, REST APIs, Scikit-Learn and deploying models via Triton Inference Server. Must have strong hands-on proficiency in Docker, PyTorch, REST APIs, Scikit-Learn, Computer Vision, Mathematics & Linear Algebra, ONNX, TensorFlow. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0041,Cybersecurity Analyst,ByteCraft Technologies,Cybersecurity & Information Security,"Islamabad, PK",Entry Level (0-1 yrs),"TCP/IP & Firewalls, Cryptography Basics, Security Compliance (ISO/NIST), Linux, Splunk, Wireshark, Network Security, Vulnerability Assessment, Metasploit","Join our SecOps team as a Cybersecurity Analyst. You will safeguard critical digital assets, investigate security breaches, and write automated detection scripts with TCP/IP & Firewalls, Cryptography Basics, Security Compliance (ISO/NIST), Linux. Must have strong hands-on proficiency in TCP/IP & Firewalls, Cryptography Basics, Security Compliance (ISO/NIST), Linux, Splunk, Wireshark, Network Security, Vulnerability Assessment, Metasploit. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0042,React / Node.js Developer,Starlight Media Labs,Full Stack & Web Development,"Lahore, PK",Mid Level (2-3 yrs),"React, SQL, Node.js, MongoDB, Docker","We are seeking a talented React / Node.js Developer to build responsive, robust web applications using React, SQL, Node.js, MongoDB. You will design REST APIs and craft smooth user interfaces with modern frameworks. Must have strong hands-on proficiency in React, SQL, Node.js, MongoDB, Docker. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0043,BI Analyst,Alpha Cloud Systems,Data Science & Analytics,"London, UK",Mid Level (2-3 yrs),"Snowflake, SQL Optimization, Git, Data Storytelling, Matplotlib, Feature Engineering, Exploratory Data Analysis, Scikit-Learn, A/B Testing","Looking for a motivated BI Analyst to join our analytics team. Key responsibilities include statistical modeling, data cleaning with Snowflake, SQL Optimization, Git, Data Storytelling, and translating data into strategic recommendations. Must have strong hands-on proficiency in Snowflake, SQL Optimization, Git, Data Storytelling, Matplotlib, Feature Engineering, Exploratory Data Analysis, Scikit-Learn, A/B Testing. Experience with Mid Level (2-3 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
JOB-0044,SOC Analyst,Orbital HealthTech,Cybersecurity & Information Security,"Islamabad, PK",Entry Level (0-1 yrs),"Python Scripting, TCP/IP & Firewalls, Cryptography Basics, Wireshark, Ethical Hacking, Incident Response, Burp Suite, Metasploit, Security Compliance (ISO/NIST), Vulnerability Assessment","Join our SecOps team as a SOC Analyst. You will safeguard critical digital assets, investigate security breaches, and write automated detection scripts with Python Scripting, TCP/IP & Firewalls, Cryptography Basics, Wireshark. Must have strong hands-on proficiency in Python Scripting, TCP/IP & Firewalls, Cryptography Basics, Wireshark, Ethical Hacking, Incident Response, Burp Suite, Metasploit, Security Compliance (ISO/NIST), Vulnerability Assessment. Experience with Entry Level (0-1 yrs) in agile environments. Key responsibilities include collaborative coding, unit testing, and continuous deployment."
